City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,56.52,77,65,30.15,SH,Sun Aug  4 21:30:48 2024
1,adamstown,-25.066,-130.1015,69.4,81,100,16.91,PN,Sun Aug  4 21:30:50 2024
2,albany,42.6001,-73.9662,75.67,74,0,1.99,US,Sun Aug  4 21:26:17 2024
3,kirchberg in tirol,47.3907,12.3072,60.69,97,97,1.99,AT,Sun Aug  4 21:30:53 2024
4,geraldton,-28.7667,114.6,52.21,87,0,9.22,AU,Sun Aug  4 21:17:18 2024
5,palmas,-10.2128,-48.3603,73.27,49,0,6.91,BR,Sun Aug  4 21:30:07 2024
6,kovdor,67.5662,30.4758,49.05,81,13,1.88,RU,Sun Aug  4 21:30:58 2024
7,naze,28.3667,129.4833,86.92,72,15,15.01,JP,Sun Aug  4 21:17:28 2024
8,avarua,-21.2078,-159.775,77.05,69,20,9.22,CK,Sun Aug  4 21:31:01 2024
9,quiberon,47.4841,-3.1196,56.8,84,0,4.47,FR,Sun Aug  4 21:31:03 2024
10,bethel,41.3712,-73.414,73.63,89,0,1.99,US,Sun Aug  4 21:31:04 2024
11,ushuaia,-54.8,-68.3,29.86,69,75,8.05,AR,Sun Aug  4 21:31:06 2024
12,paracuru,-3.41,-39.0306,79.07,76,5,15.26,BR,Sun Aug  4 21:31:07 2024
13,ust-nera,64.5667,143.2,61.77,50,59,4.74,RU,Sun Aug  4 21:31:09 2024
14,pandan,14.0453,124.1694,87.26,66,96,8.75,PH,Sun Aug  4 21:31:10 2024
15,puerto baquerizo moreno,-0.9,-89.6,67.35,85,26,12.59,EC,Sun Aug  4 21:21:47 2024
16,keflavik,64.0049,-22.5624,53.51,87,100,17.27,IS,Sun Aug  4 21:31:13 2024
17,lobujya,27.95,86.8167,41.47,84,100,2.71,NP,Sun Aug  4 21:31:14 2024
18,port-aux-francais,-49.35,70.2167,35.19,67,10,16.04,TF,Sun Aug  4 21:31:16 2024
19,misratah,32.3754,15.0925,81.27,69,0,4.79,LY,Sun Aug  4 21:31:18 2024
20,talnakh,69.4865,88.3972,56.62,50,0,11.74,RU,Sun Aug  4 21:31:19 2024
21,port elizabeth,-33.918,25.5701,52.09,52,0,19.57,ZA,Sun Aug  4 21:31:21 2024
22,puerto natales,-51.7236,-72.4875,33.49,98,100,1.45,CL,Sun Aug  4 21:31:23 2024
